Line num,55654
packages num,18,33
files num,55,163
Average Line num per featured file,730,5844
,0
docs/docs/tutorials,0
examples/internal/clients/abe,4517
examples/internal/clients/echo,1181
examples/internal/clients/generateunboundmethods,651
examples/internal/clients/responsebody,743
examples/internal/clients/unannotatedecho,950
examples/internal/cmd/example-gateway-server,28
examples/internal/cmd/example-grpc-server,19
examples/internal/gateway,156
examples/internal/helloworld,1387
examples/internal/integration,2295
examples/internal/proto/examplepb,15919
examples/internal/proto/pathenum,313
examples/internal/proto/standalone,756
examples/internal/proto/sub,124
examples/internal/proto/sub2,124
examples/internal/server,598
internal/casing,37
internal/codegenerator,98
internal/descriptor,3786
internal/descriptor/apiconfig,130
internal/descriptor/openapiconfig,588
internal/generator,7
internal/httprule,592
protoc-gen-grpc-gateway,141
protoc-gen-grpc-gateway/internal/gengateway,1717
protoc-gen-openapiv2,377
protoc-gen-openapiv2/internal/genopenapi,6751
protoc-gen-openapiv2/options,2300
runtime,5613
runtime/internal/examplepb,3307
utilities,449
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,282,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,309,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,319,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,346,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,352,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,379,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,389,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,416,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,422,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,449,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,459,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,486,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,492,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,519,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,529,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,556,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,562,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,589,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,599,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/grpc-ecosystem++grpc-gateway/examples/internal/helloworld/helloworld.pb.gw.go,27,Mutex,626,
