Line num,52517
packages num,38,369
files num,90,243
Average Line num per featured file,418,7525
,1528
_benchmarks/view/ace,17
_benchmarks/view/amber,16
_benchmarks/view/blocks,17
_benchmarks/view/django,16
_benchmarks/view/handlebars,17
_benchmarks/view/html,17
_benchmarks/view/jet,16
_benchmarks/view/pug,16
_examples/apidoc/yaag,33
_examples/auth/basicauth/basic,55
_examples/auth/basicauth/database,88
_examples/auth/basicauth/users_file_bcrypt,16
_examples/auth/basicauth/users_list,36
_examples/auth/cors,27
_examples/auth/goth,266
_examples/auth/hcaptcha,33
_examples/auth/jwt/basic,44
_examples/auth/jwt/blocklist,54
_examples/auth/jwt/middleware,53
_examples/auth/jwt/refresh-token,92
_examples/auth/jwt/tutorial,18
_examples/auth/jwt/tutorial/api,181
_examples/auth/jwt/tutorial/domain/model,20
_examples/auth/jwt/tutorial/domain/repository,161
_examples/auth/jwt/tutorial/go-client,132
_examples/auth/jwt/tutorial/util,40
_examples/auth/permissions,74
_examples/auth/recaptcha,28
_examples/auth/recaptcha/custom_form,29
_examples/bootstrapper,40
_examples/bootstrapper/bootstrap,85
_examples/bootstrapper/middleware/identity,21
_examples/bootstrapper/routes,42
_examples/caddy/server1,31
_examples/caddy/server2,35
_examples/compression,93
_examples/compression/client,75
_examples/compression/client-using-iris,75
_examples/configuration/from-configuration-structure,21
_examples/configuration/from-toml-file,11
_examples/configuration/from-yaml-file,13
_examples/configuration/from-yaml-file/shared-configuration,11
_examples/configuration/functional,11
_examples/configuration/viper,14
_examples/configuration/viper/config,44
_examples/convert-handlers/negroni-like,26
_examples/convert-handlers/nethttp,20
_examples/convert-handlers/real-usecase-raven/wrapping-the-router,31
_examples/convert-handlers/real-usecase-raven/writing-middleware,32
_examples/cookies/basic,47
_examples/cookies/options,59
_examples/cookies/securecookie,65
_examples/database/mongodb,54
_examples/database/mongodb/api/store,81
_examples/database/mongodb/env,53
_examples/database/mongodb/httputil,92
_examples/database/mongodb/store,120
_examples/database/mysql,34
_examples/database/mysql/api,408
_examples/database/mysql/cache,87
_examples/database/mysql/entity,91
_examples/database/mysql/service,164
_examples/database/mysql/sql,248
_examples/database/orm/gorm,162
_examples/database/orm/reform,33
_examples/database/orm/reform/controllers,28
_examples/database/orm/reform/models,101
_examples/database/orm/sqlx,62
_examples/dependency-injection/basic,30
_examples/dependency-injection/basic/middleware,60
_examples/dependency-injection/context-register-dependency,40
_examples/dependency-injection/jwt,47
_examples/dependency-injection/jwt/contrib,35
_examples/dependency-injection/overview,32
_examples/dependency-injection/overview/datamodels,8
_examples/dependency-injection/overview/datasource,39
_examples/dependency-injection/overview/repositories,105
_examples/dependency-injection/overview/services,41
_examples/dependency-injection/overview/web/middleware,5
_examples/dependency-injection/overview/web/routes,56
_examples/dependency-injection/sessions,21
_examples/dependency-injection/sessions/routes,9
_examples/dependency-injection/smart-contract,86
_examples/desktop/blink,29
_examples/desktop/lorca,25
_examples/desktop/webview,26
_examples/dropzonejs/src,119
_examples/file-server/basic,109
_examples/file-server/embedding-files-into-app,373
_examples/file-server/embedding-gzipped-files-into-app,408
_examples/file-server/favicon,15
_examples/file-server/file-server,97
_examples/file-server/http2push,19
_examples/file-server/http2push-embedded,466
_examples/file-server/http2push-embedded-gzipped,472
_examples/file-server/send-files,22
_examples/file-server/single-page-application/basic,14
_examples/file-server/single-page-application/embedded-single-page-application,403
_examples/file-server/single-page-application/embedded-single-page-application-with-other-routes,316
_examples/file-server/spa-vue-router,7
_examples/file-server/subdomain,83
_examples/file-server/upload-file,38
_examples/file-server/upload-files,82
_examples/http-server/custom-httpserver/easy-way,16
_examples/http-server/custom-httpserver/multi,24
_examples/http-server/custom-httpserver/std-way,18
_examples/http-server/custom-listener,19
_examples/http-server/graceful-shutdown/custom-notifier,37
_examples/http-server/graceful-shutdown/default-notifier,22
_examples/http-server/http3-quic,14
