Line num,95747
packages num,34,120
files num,71,397
Average Line num per featured file,325,23088
,2
cmd,27
cmd/healthcheck,56
cmd/internal/gen,355
cmd/traefik,605
cmd/version,51
integration,5050
integration/helloworld,193
integration/try,255
internal,156
pkg/anonymize,1336
pkg/api,4139
pkg/cli,103
pkg/collector,66
pkg/config/dynamic,2238
pkg/config/kv,526
pkg/config/label,1358
pkg/config/runtime,1813
pkg/config/static,410
pkg/healthcheck,773
pkg/ip,554
pkg/job,75
pkg/log,247
pkg/metrics,2620
pkg/middlewares,90
pkg/middlewares/accesslog,1670
pkg/middlewares/addprefix,150
pkg/middlewares/auth,1353
pkg/middlewares/buffering,45
pkg/middlewares/chain,20
pkg/middlewares/circuitbreaker,47
pkg/middlewares/compress,399
pkg/middlewares/connectionheader,96
pkg/middlewares/customerrors,475
pkg/middlewares/emptybackendhandler,90
pkg/middlewares/forwardedheaders,509
pkg/middlewares/headers,1113
pkg/middlewares/inflightreq,45
pkg/middlewares/ipwhitelist,155
pkg/middlewares/metrics,270
pkg/middlewares/passtlsclientcert,943
pkg/middlewares/pipelining,109
pkg/middlewares/ratelimiter,417
pkg/middlewares/recovery,64
pkg/middlewares/redirect,668
pkg/middlewares/replacepath,134
pkg/middlewares/replacepathregex,200
pkg/middlewares/requestdecorator,336
pkg/middlewares/retry,438
pkg/middlewares/stripprefix,273
pkg/middlewares/stripprefixregex,205
pkg/middlewares/tcp/ipwhitelist,166
pkg/middlewares/tracing,444
pkg/pilot,380
pkg/ping,30
pkg/plugins,783
pkg/provider,358
pkg/provider/acme,1737
pkg/provider/aggregator,174
pkg/provider/constraints,458
pkg/provider/consulcatalog,3411
pkg/provider/docker,4909
pkg/provider/ecs,3665
pkg/provider/file,745
pkg/provider/http,358
pkg/provider/kubernetes/crd,7250
pkg/provider/kubernetes/crd/generated/clientset/versioned,58
pkg/provider/kubernetes/crd/generated/clientset/versioned/fake,67
pkg/provider/kubernetes/crd/generated/clientset/versioned/scheme,21
pkg/provider/kubernetes/crd/generated/clientset/versioned/typed/traefik/v1alpha1,1293
pkg/provider/kubernetes/crd/generated/clientset/versioned/typed/traefik/v1alpha1/fake,770
pkg/provider/kubernetes/crd/generated/informers/externalversions,161
pkg/provider/kubernetes/crd/generated/informers/externalversions/internalinterfaces,14
pkg/provider/kubernetes/crd/generated/informers/externalversions/traefik,19
pkg/provider/kubernetes/crd/generated/informers/externalversions/traefik/v1alpha1,545
pkg/provider/kubernetes/crd/generated/listers/traefik/v1alpha1,487
pkg/provider/kubernetes/crd/traefik/v1alpha1,1692
pkg/provider/kubernetes/gateway,5129
pkg/provider/kubernetes/ingress,3702
pkg/provider/kubernetes/k8s,622
pkg/provider/kv,1297
pkg/provider/kv/consul,17
pkg/provider/kv/etcd,17
pkg/provider/kv/redis,17
