Line num,87678
packages num,28,121
files num,69,568
Average Line num per featured file,191,13243
docker,0
test/s3/basic,246
test/s3/multipart,154
unmaintained/change_superblock,64
unmaintained/check_disk_size,34
unmaintained/compact_leveldb,32
unmaintained/diff_volume_servers,173
unmaintained/fix_dat,107
unmaintained/load_test/load_test_leveldb,128
unmaintained/load_test/load_test_meta_tail,66
unmaintained/remove_duplicate_fids,74
unmaintained/repeated_vacuum,55
unmaintained/s3/presigned_put,51
unmaintained/see_dat,40
unmaintained/see_idx,33
unmaintained/see_log_entry,56
unmaintained/see_meta,50
unmaintained/stress_filer_upload/bench_filer_upload,111
unmaintained/stress_filer_upload/stress_filer_upload_actual,125
unmaintained/stress_filer_upload/write_files,40
unmaintained/volume_tailer,56
weed,145
weed/command,5504
weed/command/scaffold,8
weed/filer,4271
weed/filer/abstract_sql,367
weed/filer/cassandra,226
weed/filer/elastic/v7,340
weed/filer/etcd,207
weed/filer/hbase,259
weed/filer/leveldb,316
weed/filer/leveldb2,312
weed/filer/leveldb3,397
weed/filer/mongodb,230
weed/filer/mysql,114
weed/filer/mysql2,75
weed/filer/postgres,125
weed/filer/postgres2,86
weed/filer/redis,249
weed/filer/redis2,259
weed/filer/rocksdb,386
weed/filer/sqlite,65
weed/filer/tikv,357
weed/filesys,2732
weed/filesys/meta_cache,303
weed/ftpd,62
weed/glog,1129
weed/iamapi,830
weed/images,251
weed/messaging/broker,661
weed/messaging/msgclient,443
weed/notification,44
weed/notification/aws_sqs,75
weed/notification/gocdk_pub_sub,80
weed/notification/google_pub_sub,72
weed/notification/kafka,70
weed/notification/log,22
weed/operation,1340
weed/pb,335
weed/pb/filer_pb,5438
weed/pb/iam_pb,290
weed/pb/master_pb,4141
weed/pb/messaging_pb,1773
weed/pb/remote_pb,644
weed/pb/volume_server_pb,8015
weed/query/json,217
weed/query/sqltypes,399
weed/remote_storage,217
weed/remote_storage/azure,252
weed/remote_storage/gcs,148
weed/remote_storage/hdfs,186
weed/remote_storage/s3,499
weed/replication,85
weed/replication/repl_util,36
weed/replication/sink,19
weed/replication/sink/azuresink,102
weed/replication/sink/b2sink,98
weed/replication/sink/filersink,300
weed/replication/sink/gcssink,91
weed/replication/sink/localsink,110
weed/replication/sink/s3sink,271
weed/replication/source,109
weed/replication/sub,486
weed/s3api,4845
weed/s3api/http,11
weed/s3api/policy,753
weed/s3api/s3_constants,8
weed/s3api/s3err,465
weed/security,240
weed/sequence,296
weed/server,6716
weed/server/filer_ui,42
weed/server/master_ui,7
weed/server/volume_server_ui,27
weed/shell,8107
weed/stats,472
weed/storage,3860
weed/storage/backend,248
weed/storage/backend/memory_map,308
weed/storage/backend/memory_map/os_overloads,174
weed/storage/backend/s3_backend,347
weed/storage/erasure_coding,1146
weed/storage/idx,46
