Line num,12627
packages num,1,13
files num,2,95
Average Line num per featured file,206,412
,35
cmd,146
commands,5947
coverage,47
fixtures,169
git,693
github,4005
internal/assert,28
md2roff,201
md2roff-bin,141
ui,456
utils,757
version,2
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++hub/github/config.go,8,Known chan length (length),201,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++hub/github/config.go,1,Goroutine,203,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++hub/github/config.go,2,Receive,204,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++hub/github/http_test.go,1,Goroutine,29,
